date_key,full_date,year,quarter,month_number,month_name,month_short,week_of_year,day_of_week_number,day_of_week_name,day_of_week_short,day_of_month,weekday_indicator,year_quarter,year_month
20160101,2016-01-01,2016,1,1,January,Jan,0,5,Friday,Fri,1,Weekday,2016-Q1,2016-01
20160102,2016-01-02,2016,1,1,January,Jan,0,6,Saturday,Sat,2,Weekend,2016-Q1,2016-01
20160103,2016-01-03,2016,1,1,January,Jan,0,7,Sunday,Sun,3,Weekend,2016-Q1,2016-01
20160104,2016-01-04,2016,1,1,January,Jan,1,1,Monday,Mon,4,Weekday,2016-Q1,2016-01
20160105,2016-01-05,2016,1,1,January,Jan,1,2,Tuesday,Tue,5,Weekday,2016-Q1,2016-01
20160106,2016-01-06,2016,1,1,January,Jan,1,3,Wednesday,Wed,6,Weekday,2016-Q1,2016-01
20160107,2016-01-07,2016,1,1,January,Jan,1,4,Thursday,Thu,7,Weekday,2016-Q1,2016-01
20160108,2016-01-08,2016,1,1,January,Jan,1,5,Friday,Fri,8,Weekday,2016-Q1,2016-01
20160109,2016-01-09,2016,1,1,January,Jan,1,6,Saturday,Sat,9,Weekend,2016-Q1,2016-01
20160110,2016-01-10,2016,1,1,January,Jan,1,7,Sunday,Sun,10,Weekend,2016-Q1,2016-01
20160111,2016-01-11,2016,1,1,January,Jan,2,1,Monday,Mon,11,Weekday,2016-Q1,2016-01
20160112,2016-01-12,2016,1,1,January,Jan,2,2,Tuesday,Tue,12,Weekday,2016-Q1,2016-01
20160113,2016-01-13,2016,1,1,January,Jan,2,3,Wednesday,Wed,13,Weekday,2016-Q1,2016-01
20160114,2016-01-14,2016,1,1,January,Jan,2,4,Thursday,Thu,14,Weekday,2016-Q1,2016-01
20160115,2016-01-15,2016,1,1,January,Jan,2,5,Friday,Fri,15,Weekday,2016-Q1,2016-01
20160116,2016-01-16,2016,1,1,January,Jan,2,6,Saturday,Sat,16,Weekend,2016-Q1,2016-01
20160117,2016-01-17,2016,1,1,January,Jan,2,7,Sunday,Sun,17,Weekend,2016-Q1,2016-01
20160118,2016-01-18,2016,1,1,January,Jan,3,1,Monday,Mon,18,Weekday,2016-Q1,2016-01
20160119,2016-01-19,2016,1,1,January,Jan,3,2,Tuesday,Tue,19,Weekday,2016-Q1,2016-01
20160120,2016-01-20,2016,1,1,January,Jan,3,3,Wednesday,Wed,20,Weekday,2016-Q1,2016-01
20160121,2016-01-21,2016,1,1,January,Jan,3,4,Thursday,Thu,21,Weekday,2016-Q1,2016-01
20160122,2016-01-22,2016,1,1,January,Jan,3,5,Friday,Fri,22,Weekday,2016-Q1,2016-01
20160123,2016-01-23,2016,1,1,January,Jan,3,6,Saturday,Sat,23,Weekend,2016-Q1,2016-01
20160124,2016-01-24,2016,1,1,January,Jan,3,7,Sunday,Sun,24,Weekend,2016-Q1,2016-01
20160125,2016-01-25,2016,1,1,January,Jan,4,1,Monday,Mon,25,Weekday,2016-Q1,2016-01
20160126,2016-01-26,2016,1,1,January,Jan,4,2,Tuesday,Tue,26,Weekday,2016-Q1,2016-01
20160127,2016-01-27,2016,1,1,January,Jan,4,3,Wednesday,Wed,27,Weekday,2016-Q1,2016-01
20160128,2016-01-28,2016,1,1,January,Jan,4,4,Thursday,Thu,28,Weekday,2016-Q1,2016-01
20160129,2016-01-29,2016,1,1,January,Jan,4,5,Friday,Fri,29,Weekday,2016-Q1,2016-01
20160130,2016-01-30,2016,1,1,January,Jan,4,6,Saturday,Sat,30,Weekend,2016-Q1,2016-01
